listing_id,area_dm2,building_age_years,monthly_rent
A0000214,6677.8775,11,3043.8436
A0000517,8422.2953,10,3534.8548
A0001110,8671.2284,11,3656.5606
A0000626,6366.2222,7,3166.5505
A0000185,8304.2224,8,3618.4357
A0000841,6495.801,5,3133.4559
A0000680,8140.2874,7,3581.9943
A0000260,6656.0727,10,3161.4429
A0000066,6355.5816,10,2932.4176
A0000249,8360.8154,9,3629.2608
A0000173,6166.6292,8,3061.7034
A0001089,8291.6876,6,3504.2945
A0000594,8152.7972,5,3447.8256
A0000058,5779.5711,9,2909.8551
A0000914,7221.5647,10,3338.4525
A0000731,5863.0077,11,2764.8617
A0000965,7476.914,7,3398.169
A0000842,8421.9751,11,3705.2981
A0000948,8651.4312,10,3702.2223
A0000575,7158.8844,11,3238.5176
A0000155,5951.8635,9,3139.1335
A0000157,7423.5874,11,3610.6725
A0000344,7997.0421,8,3415.5614
A0000323,6003.6315,8,3141.1172
A0000380,7149.038,5,3335.9444
A0000346,6696.4726,5,3449.9114
A0000281,7084.2466,8,3401.6433
A0000939,6698.1907,10,3166.5616
A0000982,6050.5794,11,2767.74
A0000485,7685.4589,8,3618.7784
A0000592,6857.7129,8,3242.81
A0000396,8572.3227,7,3657.9148
A0000988,7500.018,11,3429.223
A0000685,8497.2744,7,3583.9948
A0000010,5996.7283,10,2876.8678
A0000416,7673.9547,8,3373.2962
A0000601,5916.6651,6,2949.2267
A0000667,7187.6954,11,3278.2807
A0000980,8222.8021,11,3630.7178
A0001008,6153.6765,9,2770.7778
A0000621,7910.9889,10,3312.4987
A0000614,8181.9145,5,3820.036
A0000788,7256.771,9,3325.0438
A0000898,8503.5027,7,3594.4651
A0000543,8242.5425,5,3629.9326
A0000147,7204.0536,9,3229.3792
A0000529,6857.7506,8,3217.9406
A0000285,7463.3305,8,3295.0344
A0000252,7189.9496,5,3089.2538
A0000395,7399.3374,9,3289.9009
A0000450,7434.7718,11,3356.8962
A0000122,8535.4337,11,3759.9953
A0000974,7270.3384,5,3472.4623
A0000115,5849.1559,11,3153.1413
A0001095,6136.2314,6,2968.3949
A0000632,6335.0959,10,3030.348
A0000255,5886.5082,10,2888.3459
A0000519,7952.7875,11,3506.2982
A0001062,7940.2885,7,3477.9274
A0000831,6015.4582,5,2992.0164
A0000421,8292.8473,8,3571.3631
A0001063,6052.4255,7,3095.614
A0000996,5774.6132,11,2936.7008
A0001083,7978.1158,6,3451.9945
A0000847,8182.2755,10,3572.9714
A0000981,6243.1161,6,3280.2344
A0000920,6688.0848,6,3248.8033
A0000207,7700.3249,11,3322.0426
A0001184,7657.8512,10,3444.937
A0000983,6389.41,7,3126.4612
A0000310,7009.5838,10,3257.488
A0000052,7417.3165,10,3233.4918
A0000701,6518.6383,7,3125.0005
A0000089,5954.6511,5,3175.2297
A0001159,6789.3085,5,3252.7482
A0000494,6377.6523,11,3153.3716
A0000286,7541.5278,5,3425.3167
A0000533,6229.0661,5,3147.3453
A0000261,6078.6597,7,2880.4961
A0000708,8602.1188,10,3707.8796
A0000951,7202.2147,11,3300.7231
A0000273,6614.3476,10,3194.452
A0001073,6122.9878,9,2965.1871
A0000331,5745.7368,8,3214.6168
A0000239,8550.917,7,3570.2819
A0001038,7437.893,9,3425.6394
A0000375,6223.866,11,3087.5172
A0000590,8105.3677,10,3370.6953
A0001028,8603.7603,10,3901.8
A0000499,7454.0056,11,3203.4903
A0000234,6507.456,10,3050.5448
A0000933,7358.2532,7,3483.7353
A0000734,8301.4518,5,3832.362
A0000431,7999.0268,11,3513.7979
A0000846,6266.7194,8,3148.9517
A0000014,5875.9756,11,2823.1105
A0000274,8454.5533,8,3724.3832
A0000361,7979.2581,10,3408.904
A0001115,7051.2045,6,3234.286
A0000332,6475.4597,9,2992.7401
A0000583,7955.2787,7,3568.7957
A0001047,6293.9984,5,3203.8468
A0000411,7902.9,10,3331.4614
A0000427,7054.3972,11,3124.0663
A0000065,6741.1196,7,3012.2568
A0000446,6895.3918,6,3339.7167
A0000349,7857.8631,11,3416.7952
A0000884,8578.7507,5,3443.4116
A0000019,8394.2499,9,3618.2351
A0001149,8557.8739,8,3465.1406
A0001022,6303.9923,5,2970.8158
A0000079,7605.1892,10,3227.2002
A0000960,8277.8411,11,3428.7549
A0000005,6098.0894,10,2938.2174
A0000668,5953.5121,8,2911.5626
A0001098,7216.5337,7,3070.2752
A0000818,6780.5135,10,3154.5456
A0000126,5702.9239,5,3070.0163
A0000915,8564.005,7,3918.8823
A0000330,6999.9167,8,3234.4295
A0000482,6525.9295,10,3054.3934
A0000844,7124.4714,10,3406.9704
A0000222,6629.7978,9,3099.3081
A0000691,6307.3213,10,3020.4882
A0001182,8649.1924,9,3767.0983
A0000508,8403.4669,9,3692.1462
A0000085,7718.8655,5,3574.4408
A0000314,8672.1219,6,3603.2129
A0000791,6655.5976,8,3155.1775
A0000466,6264.6543,9,2945.8913
A0000295,7773.761,5,3581.7331
A0000756,8563.7409,9,3644.571
A0001168,6651.7789,7,3050.3039
A0001165,6751.4343,9,3436.7106
A0000760,6048.166,9,2847.921
A0000477,7192.7595,7,3187.0658
A0001174,7198.2794,9,3241.9647
A0000506,8506.2994,11,3371.4598
A0000577,6304.9326,8,3056.3973
A0000040,6870.0129,10,3172.192
A0000823,8078.0836,6,3709.4992
A0000985,7489.9227,11,3281.7323
A0000096,8453.1776,11,3480.3243
A0000817,7470.8905,7,3546.7337
A0000059,8420.0974,6,3689.5551
A0000689,7622.6207,11,3542.7918
A0000829,8658.5509,5,3869.571
A0000814,7909.2217,8,3579.0069
A0000588,7712.4712,8,3473.2165
A0000136,7834.8383,8,3456.315
A0000781,6449.9084,8,3398.098
A0001039,5945.0705,10,3108.9788
A0000936,6261.5919,7,2969.0439
A0000020,6662.3251,10,3133.0082
A0000069,7270.4773,7,3658.506
A0000163,6533.927,8,3221.7492
A0000876,6007.9435,7,3242.9706
A0000728,6306.0786,11,2933.2154
A0001187,7942.6489,10,3455.6227
