listing_id,area_sqm,building_age_years,metro_m,center_km,bedrooms,floor,amenities_1km,renovation_score,has_elevator,sunlight_hours,monthly_rent
B0022497,108.1993,15,120.0,6.5776,3,13,13,4,1,4.7544,4817.6958
B0021139,73.7718,17,3011.0164,19.1278,2,12,6,1,1,4.0909,2635.8203
B0007311,125.9172,5,917.3959,2.7986,4,28,13,4,1,6.2209,5389.2886
B0006938,71.4753,14,4669.5952,23.0111,2,8,5,2,1,4.6141,2580.5572
B0005361,144.4697,12,1546.9753,17.6481,4,13,7,3,1,6.4992,4628.1939
B0012344,86.5463,31,1138.3315,20.5483,2,16,8,2,1,4.7972,2821.5087
B0008247,107.2692,30,3765.4411,23.168,3,20,3,2,1,3.8897,3077.6429
B0008880,146.0014,29,1930.2304,13.1981,5,17,5,3,0,7.9227,3927.4052
B0017873,115.8294,18,1927.8464,6.2071,4,13,11,1,1,7.1652,4219.459
B0013791,68.7523,30,3050.7767,7.4577,3,19,9,2,1,6.6834,2752.0982
B0012388,78.3776,12,1508.7696,16.427,3,4,10,4,0,6.4218,3369.0008
B0007748,124.5318,14,4117.2538,24.7546,4,9,3,2,1,3.3245,3222.9612
B0013021,108.3243,23,1906.7961,14.0726,2,8,4,4,0,4.2596,3315.1233
B0011486,58.3529,10,3224.0085,21.037,1,12,2,3,1,4.7469,2351.1976
B0004084,113.2397,21,2571.7482,15.9939,4,11,6,4,1,5.6306,3816.4775
B0002602,80.6479,4,1692.4283,19.1983,3,24,4,4,1,5.2325,3496.7181
B0014285,79.627,3,3785.6257,15.6699,3,10,7,1,0,4.6344,2949.677
B0019384,133.6975,0,557.9886,3.457,4,13,9,5,1,8.0497,5432.7306
B0010701,80.0961,29,2165.5881,14.9518,2,24,8,1,1,6.1663,2968.157
B0000221,127.325,6,2636.0698,20.0953,5,24,3,4,1,5.7931,4355.906
B0000527,43.5006,3,3884.0769,20.0574,1,25,4,2,1,4.7937,1988.2284
B0011480,67.0204,10,2619.8501,18.7062,3,23,2,4,1,5.5012,2870.17
B0022020,56.9118,13,2013.4598,11.7736,2,26,4,3,1,6.4879,2602.9365
B0021330,91.2924,26,2157.5732,17.9835,2,2,9,1,0,5.5349,2920.8036
B0004935,72.259,31,4114.7839,23.1582,2,2,5,3,0,4.1015,2146.189
B0021773,127.0622,13,1982.0944,17.9277,4,18,5,4,1,6.9328,4078.7933
B0019528,59.6959,27,384.4312,15.0671,2,28,9,2,1,4.8233,2819.5925
B0010751,45.4697,3,120.0,5.0445,2,3,13,4,1,5.9737,3299.869
B0011877,139.7016,30,1118.7713,1.952,4,21,14,2,1,4.9032,4855.4803
B0010807,88.0294,18,4081.8154,22.2166,2,20,3,2,1,6.5715,2911.1532
B0015237,112.4807,1,3652.0171,22.8366,3,17,3,3,1,4.1507,3625.9956
B0015068,135.1008,7,4392.645,23.4853,3,22,2,5,1,7.2341,4249.993
B0003854,112.6259,5,4900.0,24.9882,3,19,4,3,1,6.2775,3428.2391
B0019582,138.0319,0,1990.7843,2.6297,4,20,12,4,1,5.1603,5022.5098
B0008727,49.8019,4,120.0,5.8217,1,24,8,2,1,4.9836,3303.5092
B0009518,92.3403,32,1351.8663,9.1681,3,15,7,2,1,7.674,3228.4403
B0004616,63.5645,9,703.5348,6.0267,2,6,9,4,0,5.6082,3377.5881
B0009891,133.9528,16,1211.9383,20.7598,4,7,3,3,1,5.4807,4103.0388
B0017907,67.5418,5,120.0,4.4897,2,6,16,2,1,5.7726,3774.4628
B0013699,97.2936,12,1488.4394,15.7528,3,11,8,4,1,4.7813,3782.2321
B0004458,105.0443,1,595.4231,18.4245,3,3,8,3,0,4.9732,3968.2145
B0006117,109.3869,5,3762.6533,21.57,3,12,5,4,1,5.8064,3541.4547
B0008329,137.4299,24,1468.5218,9.5352,4,25,9,4,1,6.2232,4632.3283
B0010378,94.2402,30,2758.3,18.3577,4,6,0,2,0,6.288,2758.3908
B0014870,143.2918,16,1850.3448,21.1961,5,24,2,1,1,6.8898,4180.6413
B0004211,93.6663,4,2107.5455,18.668,3,12,7,3,1,4.1443,3219.0857
B0006866,102.2494,14,1630.6993,24.5977,3,7,9,5,0,7.4789,3685.9834
B0016536,45.1251,24,520.4683,5.1908,1,15,9,2,1,3.9942,2357.4802
B0008220,102.9652,31,4070.0714,24.9778,3,12,3,2,1,5.4592,2634.9135
B0018368,99.8447,27,3123.1958,18.6843,3,14,6,3,1,6.2015,3288.6121
B0018822,100.7408,4,1949.9658,7.7774,4,8,8,3,1,5.2591,4025.2539
B0012356,45.437,12,3511.3852,23.5872,1,17,0,4,1,5.4451,2142.3589
B0018189,102.2658,17,3073.9057,24.7222,2,13,5,3,1,5.4886,3476.7023
B0017674,120.5035,11,1607.656,15.4365,4,2,10,1,1,5.9983,3971.7196
B0002840,53.0398,2,1842.0591,16.0439,1,26,8,4,1,4.8431,2751.1799
B0015397,78.134,23,2275.3898,18.1231,3,3,4,3,0,5.18,2749.0678
B0012379,46.4753,28,3345.393,19.4273,2,14,8,2,1,6.4811,1838.2962
B0010535,74.0999,18,1025.2501,8.4961,2,4,14,5,0,5.0201,3503.5951
B0004639,129.9859,15,1842.2317,10.4279,4,25,9,3,1,6.1885,4598.94
B0007313,124.9744,31,3922.4782,19.6123,5,20,2,2,1,5.7316,3304.2468
B0001844,93.2287,10,959.0616,3.7738,3,24,14,3,1,7.7409,4443.2034
B0013110,152.0727,2,1561.2191,19.0342,5,24,0,4,1,6.7384,4977.3749
B0017093,92.838,4,1933.3627,5.3904,3,11,9,1,1,3.8344,3794.8617
B0018848,87.8276,23,1204.5824,9.8366,3,10,11,3,1,5.6248,3563.8234
B0009020,117.8152,23,2112.6184,15.7439,3,3,7,1,0,6.7507,3451.9623
B0000418,101.3933,26,1719.6659,2.7466,2,8,13,1,0,7.9918,3824.5374
B0006250,55.6484,14,3670.3615,23.371,1,21,2,2,1,6.6041,2148.0135
B0008867,95.9005,24,1670.5702,5.6918,3,11,11,4,1,5.7892,3846.9119
B0009060,78.8407,15,3364.8709,24.419,2,20,4,2,1,5.7205,2664.2515
B0018625,119.885,5,1791.1547,13.75,4,3,6,4,0,6.5156,4286.7619
B0017270,138.3787,11,1385.4488,9.2156,4,19,14,3,1,7.4881,5142.1848
B0021713,141.9548,19,206.0147,9.6452,5,8,9,2,0,6.8697,4976.0317
B0012451,54.4873,23,1236.3705,8.3476,2,21,14,3,1,6.5505,2704.5252
B0000242,71.6208,21,1543.721,9.8946,3,7,5,2,0,4.9909,2780.6994
B0017701,139.6866,12,1354.1033,10.1906,5,13,9,3,1,5.1104,4737.7947
B0002474,102.6488,29,1412.4992,4.2521,4,22,14,3,1,6.1621,4158.3921
B0001950,72.191,23,3277.1465,19.5097,2,23,8,4,1,5.6965,2837.4111
B0014280,97.8956,24,1414.2757,8.6167,3,4,10,3,0,5.4654,3786.8777
B0016132,118.6593,7,1041.0341,4.4469,3,17,8,4,1,7.2108,4700.9261
B0016858,43.615,10,1541.6946,14.9089,2,7,8,5,1,5.2472,2451.5382
B0011610,80.8382,9,1850.014,11.0758,2,6,7,5,1,5.2962,3306.3181
B0007931,60.3819,1,202.8461,7.4267,2,1,14,5,0,4.4342,3720.6295
B0002554,43.4147,30,2855.0514,17.2668,1,3,6,2,0,5.8135,1496.9826
B0019842,140.837,15,1017.22,5.3188,4,23,13,4,0,7.0236,4874.0503
B0003239,134.5516,17,2999.9141,14.3876,4,11,5,2,0,7.2287,3992.5861
B0003528,73.6262,15,120.0,7.1315,2,6,12,4,1,4.1474,3732.4106
B0007955,77.6515,5,196.6219,8.2569,2,9,11,1,1,5.5832,3978.9338
B0017494,137.9783,10,3555.3843,23.8475,4,24,1,5,1,6.7892,4496.6976
B0018816,54.3931,32,120.0,12.4425,2,22,7,3,1,5.8599,2597.2438
B0012959,154.4888,16,1417.4564,15.0879,5,18,3,4,1,6.9198,4898.8921
B0017053,92.5099,19,1947.6806,14.2987,3,8,10,4,0,7.1273,3440.222
B0022109,106.9396,21,336.3808,3.0939,2,22,15,2,0,7.0509,4531.8383
B0011027,131.492,9,358.9143,10.562,5,12,13,3,1,5.9409,5118.9287
B0016888,74.3729,19,1645.7181,8.7298,2,21,10,1,1,4.0066,3059.1069
B0016079,46.3652,19,2199.0087,15.1049,2,28,9,1,1,2.9969,2056.9357
B0010519,118.6661,25,526.7423,4.6213,3,12,13,5,1,5.0994,4783.6149
B0018069,52.1333,13,2533.53,19.5429,2,22,5,5,1,2.5477,2279.1459
B0000342,133.9657,27,3261.5019,14.4447,4,4,3,2,0,6.8731,3513.9278
B0014708,59.2247,27,2730.2016,15.4088,2,7,7,3,0,5.8258,2052.1122
B0000015,59.5051,16,1865.6671,10.5828,2,15,8,2,0,5.3224,2572.029
B0003964,138.0255,1,191.7119,2.1908,5,28,9,4,1,4.9446,5813.8816
B0019477,35.9872,9,3516.7523,22.9054,1,23,3,2,1,3.2009,1608.0243
B0000694,138.0701,31,2299.5986,15.2305,4,16,5,2,1,8.6,3954.7818
B0017666,90.2082,30,2045.7135,8.4339,3,14,12,3,1,8.1688,3349.0386
B0006203,145.455,13,3339.2462,21.5926,5,9,6,4,1,7.2654,4453.548
B0019357,35.3425,19,2609.7396,6.1662,2,8,10,4,0,4.3476,2143.7928
B0006782,97.0994,32,3031.351,18.9579,3,14,6,1,1,4.7726,2914.4104
B0019643,61.744,15,120.0,4.2926,2,24,10,3,1,4.5094,3589.9822
B0004457,149.3341,31,2866.096,18.2462,4,27,6,1,1,5.9585,3896.0089
B0016769,73.612,18,2099.2753,10.1693,2,23,9,4,1,5.8111,3394.448
B0014095,134.1228,21,1492.4429,9.461,4,28,8,3,1,5.4976,4508.3289
B0012423,50.5657,8,1026.6202,11.2166,2,20,10,5,1,5.2356,3016.7273
B0020525,49.586,13,269.4857,3.6,1,27,14,3,1,7.0948,3314.4645
B0009870,150.6057,32,135.7425,11.5732,4,7,10,5,0,6.3301,5100.8507
B0015358,75.2101,23,1477.8608,21.4918,2,20,4,3,1,4.9747,2898.0589
B0010891,91.3367,20,1586.9824,12.6884,2,15,8,2,1,7.199,3256.9551
B0006575,137.6256,4,855.8799,5.1753,4,6,13,4,1,7.3069,4985.0178
B0019257,119.0998,4,1386.1149,14.122,4,28,10,3,1,6.6801,4555.7537
B0011126,142.6566,24,120.0,5.1833,5,25,11,2,1,6.3055,5512.4535
B0007941,139.6352,2,1249.5179,16.017,5,27,4,3,1,7.002,4704.1864
B0004503,73.1589,5,1625.4171,1.9432,1,23,12,4,1,6.7448,3989.892
B0001659,139.2121,6,2621.9116,22.3351,5,15,5,3,1,6.7863,4299.135
B0004722,140.7897,14,1592.7361,21.473,5,1,3,4,0,5.4407,4401.7698
B0013464,104.7056,0,633.8912,15.3071,3,19,7,4,1,6.4852,4211.2103
B0003235,83.3909,22,1206.302,20.1714,3,19,5,2,1,5.4163,3020.5549
B0005219,83.3753,26,1860.7531,16.7618,2,22,10,4,1,5.2223,3128.8539
B0019666,123.6972,18,1314.1952,10.8276,4,24,7,2,1,4.3521,4192.4274
B0008477,145.7475,24,1899.9666,22.3936,4,8,2,4,0,3.547,3865.3693
B0012629,144.6097,11,1519.519,7.1072,5,11,8,4,0,6.0135,4688.2072
B0017743,89.2122,26,3836.9263,24.5512,2,25,3,1,1,6.7264,2681.5419
B0005399,63.2331,30,120.0,3.0222,3,21,15,3,1,5.6089,3440.2174
B0020753,123.3182,6,1542.119,4.2272,3,27,10,2,1,7.3105,4756.3288
B0003808,115.6189,17,3483.972,23.5777,3,9,3,2,0,4.7254,3231.0659
B0016115,100.7111,7,209.3574,8.7673,3,13,12,3,1,6.1813,4719.9684
B0005707,142.2282,2,1908.4068,14.9176,4,13,6,2,0,6.6046,4271.4273
B0004136,74.9973,32,1297.1269,8.8986,2,14,11,3,0,4.7422,2826.1832
B0007036,129.665,28,2066.4791,19.7054,3,26,0,2,1,6.196,3527.6294
B0012153,103.4364,17,4759.1256,20.7543,4,21,3,2,1,7.7957,3264.4013
B0002415,35.3537,7,2372.6402,16.558,1,1,5,2,0,4.8783,1760.3638
B0006289,125.9561,13,2789.8559,22.2871,3,16,5,2,1,5.2384,3820.165
B0019381,46.0918,16,1475.0485,12.8364,1,3,9,2,1,4.0553,2038.3498
B0017850,54.0276,25,3622.616,23.1924,2,11,2,4,0,4.3747,1470.2104
B0013607,40.9053,18,525.027,6.6129,1,19,9,3,1,4.9617,2450.6479
B0012131,129.4438,0,1637.0489,14.553,4,17,9,4,1,5.7008,4511.6206
B0021018,74.6923,27,3087.2924,7.3484,2,23,7,2,1,5.9098,2942.5882
B0011043,108.1764,5,1632.4906,7.3482,4,8,9,4,1,4.8694,4382.7703
B0006592,48.4414,1,694.8426,10.9417,3,2,6,2,0,3.9581,2466.3575
B0003041,115.852,10,120.0,1.8559,4,7,10,3,1,6.2923,5055.2923
B0014498,60.4093,24,2601.9686,2.1686,2,12,12,2,1,4.8714,2836.5941
B0011004,50.9204,31,717.7971,7.1506,3,10,11,2,0,4.3796,2295.3509
B0008390,133.071,29,459.487,10.0036,5,1,9,2,0,6.0267,4359.0893
B0000559,105.9404,29,4592.1442,24.9992,3,23,0,3,1,7.0148,3151.7276
B0018745,143.0602,28,868.6311,6.3741,4,1,9,2,1,5.6192,4690.0632
B0008128,84.6681,14,3335.553,21.5735,3,23,4,4,1,6.1445,3091.4047
B0011179,70.2139,24,3060.5064,17.0787,3,3,2,2,0,5.7338,2307.8239
B0010228,141.2108,1,1652.3083,9.1396,4,1,6,4,0,7.0272,4828.2068
B0007469,146.5215,16,1395.027,11.7455,4,22,7,3,1,5.9188,4650.3696
B0012966,136.0433,30,758.6159,8.2484,4,7,11,1,0,5.8058,4348.5492
B0005107,140.0035,5,583.9061,6.1474,5,7,13,4,1,5.9504,5691.5135
B0013604,55.9361,31,642.924,11.8041,1,26,7,1,1,5.2167,2213.5227
B0005881,131.1783,10,757.285,7.9083,4,9,9,5,1,5.8697,5167.8495
B0008236,54.5382,25,3246.833,20.0788,2,11,4,4,0,5.0964,1695.298
B0001231,100.5022,14,2745.613,19.8635,3,3,5,4,0,6.6619,3386.4884
B0018301,61.5462,28,120.0,9.1689,1,13,7,2,1,6.3969,2764.1046
B0009166,80.1936,11,3610.9696,12.5708,2,4,8,2,1,5.49,3089.4507
B0018698,104.627,12,2346.9707,5.9536,4,9,9,3,1,7.1021,4138.7858
B0018638,106.1016,28,1436.0606,2.6756,4,18,12,2,1,6.8714,4008.5843
B0016156,107.1441,6,1747.0341,4.5728,3,10,11,4,1,7.344,4495.654
B0004281,147.0405,2,1070.4402,19.8002,4,7,5,3,0,5.872,4427.8006
B0002609,47.4568,4,120.0,12.3778,1,5,9,3,1,5.7981,2952.701
B0004243,146.7215,21,1260.9497,4.1246,5,7,15,3,0,6.5647,4996.0894
B0006858,135.9246,14,3032.2655,17.3351,4,9,7,3,1,6.339,4200.1119
B0002846,103.5416,16,1094.951,17.4821,3,22,8,3,1,3.4985,4048.0704
B0018304,92.9655,16,639.6989,6.5319,3,3,9,4,0,6.2153,4169.2741
B0003092,110.3258,30,1268.4915,7.2544,4,20,11,4,1,6.9362,4490.6855
B0010413,103.6089,13,478.4968,1.7758,3,5,14,2,1,6.3453,4382.5838
B0012484,64.3266,24,859.2066,9.6875,2,28,5,3,1,6.0233,2685.113
B0011742,48.9856,7,2571.1652,24.6267,1,13,5,3,0,4.1556,1757.0738
B0007929,101.3606,15,2866.3636,18.3923,3,28,9,2,1,5.5751,3652.4642
B0004625,86.6234,22,2920.4065,20.6098,2,15,0,3,1,6.1278,2951.4981
B0015394,108.1059,28,2626.8681,14.0382,4,8,8,2,0,6.3002,3423.5632
B0020976,123.9684,16,1440.1352,13.3236,5,14,9,1,1,6.7719,4162.4438
B0013023,130.8701,20,120.0,6.8457,4,15,10,3,1,6.6339,5354.9578
B0004601,120.013,12,2129.9183,2.8044,4,14,13,3,1,6.5512,4386.5994
B0019186,61.9417,1,721.9682,7.254,1,28,12,2,1,4.8069,3467.6828
B0011341,91.6845,5,2113.9897,20.7735,3,17,3,2,1,4.6767,3478.1249
B0018034,111.9354,25,2102.547,9.1685,4,24,12,2,1,5.0804,4074.6344
B0017968,110.8253,22,1589.9221,16.4064,4,14,7,3,0,6.1848,3406.379
B0011360,91.8369,22,1252.8636,14.1624,3,7,8,3,0,5.5184,3328.856
B0008313,96.7567,22,1607.282,9.8531,3,26,8,4,1,6.0751,3980.5912
B0014014,112.4283,29,2304.6426,20.612,4,8,1,2,1,3.8446,3102.8999
B0006352,63.8473,9,120.0,2.8372,2,23,11,3,1,4.5165,3750.0019
B0007037,102.021,23,1887.4312,6.5754,3,22,12,3,1,4.9514,3816.5291
B0004026,130.6519,13,188.3501,8.0256,4,2,10,3,0,3.789,4928.94
B0007426,81.169,2,2081.2215,7.7117,2,28,10,4,1,6.3607,3983.3086
B0001573,49.1997,2,1257.1801,16.2936,1,28,5,3,1,5.8504,2644.1649
B0017857,72.6937,22,1344.5657,13.7262,3,13,9,2,1,4.9972,2937.8139
B0015098,148.7572,0,120.0,2.6452,5,3,16,2,0,8.6,6033.5265
B0011404,118.1012,2,3257.9354,20.9231,4,2,5,4,1,6.8286,3914.6281
B0000909,121.7708,18,4243.625,24.8366,3,9,1,3,1,5.8015,3487.6971
B0000272,56.4801,20,2240.8027,18.1774,2,16,5,2,1,4.1545,2055.2529
B0006800,139.8937,20,3567.4876,17.4433,4,28,8,4,1,5.307,4361.4121
B0021360,57.1197,27,480.2971,3.0233,3,24,13,3,1,4.9496,3322.5412
B0004593,124.7826,24,1342.9622,11.0223,4,4,4,3,0,5.7484,3807.6029
B0017936,139.4058,17,3372.0656,24.6886,4,8,0,2,0,5.6452,3869.9456
B0004047,80.1349,28,2891.2393,22.474,1,27,9,1,1,4.8171,2547.3364
B0007339,125.2906,0,1192.4939,5.8676,4,25,13,4,1,6.7604,5112.1339
B0017403,71.38,28,120.0,2.1294,2,10,16,3,1,5.3045,3703.328
B0006402,131.719,12,2843.2244,18.187,4,6,6,5,0,7.2868,4092.8122
B0017500,105.5958,30,2389.1592,8.0312,4,2,8,2,0,6.2012,3441.9257
B0011795,136.976,5,2598.5651,19.4774,4,28,3,4,1,5.9962,4508.9392
B0008489,112.0306,27,1334.8684,5.5168,4,20,16,3,1,6.1527,4205.2449
B0021751,90.3082,22,1856.2508,9.6043,3,4,7,2,0,5.4023,3264.3837
B0006749,136.2953,11,501.1401,3.1427,4,17,10,3,1,6.4101,5389.3857
B0013879,72.7912,5,2297.1854,17.6962,2,21,7,5,1,5.1747,3310.6848
B0010472,70.0218,13,1846.7622,16.708,2,5,7,5,0,3.9186,2981.5109
B0004576,116.1464,4,3421.6537,12.9594,3,12,9,3,1,5.3586,4284.4178
B0009880,125.0151,20,687.0185,3.1862,3,16,12,4,1,5.554,4830.2231
B0005511,108.1371,25,1482.7587,11.7389,3,17,7,3,0,5.6813,3639.6763
B0001051,139.5384,19,818.5236,4.2748,5,10,12,2,1,6.4261,5048.2748
B0003867,87.1372,8,2262.5569,22.3305,2,10,3,4,1,5.7194,3014.2824
B0000628,74.8487,5,760.6683,4.0991,2,10,12,4,0,3.6525,3509.4035
B0020248,69.9698,16,3194.7495,20.2243,2,6,8,4,0,4.6744,2677.7946
B0006462,76.7856,6,1639.0123,19.7877,3,16,2,2,1,5.3632,3024.4861
B0000930,81.2822,13,120.0,6.3977,2,2,8,3,1,5.5062,3893.6986
B0019154,114.0587,30,3217.7235,20.7955,4,28,5,1,1,6.8149,3286.0585
B0002485,107.4585,2,1221.1087,10.155,2,14,10,3,1,5.0332,4310.2403
B0019193,116.2818,17,2648.5146,11.5652,3,27,7,2,1,6.582,4024.3439
B0006994,87.929,13,1597.1254,8.9722,2,18,14,3,1,4.3365,3876.2427
B0014648,49.7325,21,2118.5329,17.9704,3,10,4,4,1,5.2839,2046.9586
B0002200,46.8235,14,2252.8872,14.2751,1,14,6,4,1,4.645,2216.9954
B0000250,133.5387,29,2064.2046,16.7904,4,28,7,3,1,3.5193,4037.8253
B0003958,67.3225,26,2559.5255,21.84,2,28,7,3,1,5.0825,2672.025
B0006479,54.9228,22,2803.0533,10.4202,2,24,9,4,1,3.7359,2665.7987
B0006465,125.1843,12,2162.7179,10.1501,4,14,10,4,1,7.1342,4537.8509
B0002877,100.5989,22,1825.3528,6.7244,3,3,10,3,0,5.9867,3744.3275
B0014320,97.3983,2,1685.5883,11.3977,3,23,6,3,1,5.9197,3987.8155
B0009357,110.7086,10,4565.4234,24.4553,3,2,5,3,0,5.278,3333.3341
B0004614,103.0947,25,1900.5921,8.619,3,5,4,2,0,5.6525,3071.9029
B0004366,143.1475,32,2376.5504,20.0048,5,21,3,3,1,5.4228,3642.0878
B0019639,121.7795,1,2090.7574,11.5616,3,20,9,3,1,7.082,4457.5133
B0007568,96.5724,0,3118.7602,13.8686,3,9,4,3,1,6.3584,3439.3327
B0011904,79.9921,9,404.1983,11.258,3,21,11,4,1,6.2478,4264.0476
B0021014,103.8546,2,649.3995,2.5336,3,16,10,4,1,7.5088,4748.582
B0005390,35.7136,27,4001.109,24.8968,1,11,2,2,1,4.1005,1147.0754
B0000536,117.1707,8,941.7096,3.7703,4,9,10,3,1,6.1843,4521.3576
B0005669,72.0745,17,1609.5941,4.5046,1,8,11,2,0,6.927,3186.885
B0001003,35.6797,27,1915.458,15.5451,1,17,8,3,1,6.0918,1688.3976
B0011370,59.5915,11,4129.2946,21.7915,2,21,3,3,1,5.0781,2301.4078
B0011462,128.3339,1,3311.2554,21.6945,4,19,2,4,1,6.7252,4004.3879
B0016990,65.4911,28,2976.7723,24.1042,2,15,4,1,1,5.2526,2033.2198
B0008443,98.6239,6,1841.7714,9.3626,3,20,13,2,1,7.0928,4104.1656
B0020075,127.4383,26,3038.716,11.7514,4,27,9,3,1,4.9189,4364.1546
B0002107,39.1856,23,630.2808,8.4282,2,26,13,3,1,3.5648,2424.9341
B0020685,106.6568,2,3454.6924,24.6331,3,17,3,1,1,5.9126,3490.2961
B0004238,35.9348,1,2956.4974,23.5084,1,6,2,4,1,4.7839,1649.9887
B0005176,118.8738,8,1277.7297,14.7659,4,16,6,3,1,4.6013,4310.9204
B0005393,75.5525,7,1742.7541,9.1931,2,2,12,4,1,6.4406,3689.189
B0003942,59.5426,15,400.1952,10.1266,1,22,11,2,1,5.1606,3147.8715
B0020353,57.9665,1,1042.4002,21.8686,1,8,4,2,1,5.6213,2378.1618
B0021919,43.2129,28,2214.7597,21.4639,1,23,8,1,1,3.6678,1676.1261
B0019132,52.9758,19,3989.3527,24.3125,1,20,4,3,1,2.4,1999.2559
B0009331,111.4458,0,2432.4512,18.5897,4,12,4,4,1,6.7272,4008.6767
B0011620,94.4456,7,120.0,6.8295,3,20,15,3,1,5.4545,4775.2683
B0016797,93.1264,6,3344.7846,24.2286,3,9,2,3,1,5.5937,3179.7491
B0011607,96.4273,28,2564.2666,10.6061,3,18,8,2,0,6.6159,3109.0191
B0014819,59.6004,2,2395.1496,12.8675,2,17,14,4,1,4.7713,3131.6537
B0016793,109.095,20,2116.6765,7.611,3,19,8,2,1,6.223,4217.2513
B0011980,100.4129,17,1916.7838,15.5455,3,28,9,2,1,7.0127,4015.0294
B0004470,91.8379,10,1327.3142,3.864,3,15,12,3,1,4.2042,3885.0607
B0017014,38.8374,26,3154.7782,14.4746,1,22,5,3,1,6.9258,1676.7786
B0016685,75.8441,20,935.0544,4.1484,3,13,10,2,1,3.7143,3379.3369
B0012024,67.6819,20,2204.6999,13.5114,2,10,8,3,1,5.5295,2945.8996
B0016016,124.9236,23,1735.5011,21.3086,4,10,3,2,1,6.3465,3474.1356
B0022273,152.3584,14,1508.69,17.6348,4,7,5,3,0,6.6987,4354.2632
B0018960,97.6153,25,2595.0319,20.8659,3,19,4,2,1,4.7252,3045.2047
B0007340,110.1919,17,1914.9038,16.7587,4,7,5,2,1,4.1214,3442.5015
B0013641,91.9271,11,1180.1218,15.4994,2,21,8,3,1,7.552,3877.2733
B0019419,119.1855,26,3896.2904,13.4641,3,4,7,3,1,5.0096,3600.8163
B0005036,56.492,14,120.0,9.2413,1,15,12,3,1,3.402,3415.9474
B0022093,123.2809,29,4447.2781,23.1857,4,5,5,2,0,6.5442,3027.6974
B0010955,56.5913,22,2402.456,13.7855,2,26,7,3,1,5.7908,2554.9061
B0000006,150.2779,14,3512.2186,24.1809,5,22,5,3,1,5.8846,4463.7745
B0021709,97.1072,13,1470.3795,6.782,3,7,8,4,1,6.9064,4023.1681
B0022126,113.5633,23,2975.1241,18.6086,3,9,4,3,0,4.9534,3247.4983
B0017709,87.0796,29,2009.5622,12.919,3,13,10,2,1,7.3014,3053.4442
B0021174,97.073,1,120.0,3.6999,3,23,9,5,1,5.9119,4868.2332
B0015271,141.0544,8,3167.9322,19.0265,4,19,4,3,1,6.2872,4305.2174
B0006847,137.5719,0,856.3471,6.1138,4,7,12,3,1,5.4299,5350.0422
B0001476,153.4423,16,120.0,5.2014,5,5,15,3,1,6.6688,5716.8943
B0003745,119.2725,29,2402.6689,4.5387,4,1,11,3,0,4.7087,3996.6376
B0017352,37.0082,6,492.7665,2.0995,1,23,10,1,1,4.9411,2618.8109
B0008946,114.7632,18,2158.3355,17.66,4,18,7,1,1,6.8316,3770.14
B0011447,105.3255,21,2525.2743,22.4445,3,19,4,3,1,4.874,3110.8103
B0014261,134.1962,23,1568.5437,9.7867,4,7,8,3,0,7.0532,4286.2818
B0021524,119.8824,3,310.0232,3.5014,5,13,15,5,1,6.3388,5570.948
B0004940,107.164,13,3566.0865,21.8195,3,25,4,2,1,5.3699,3522.6506
B0019502,117.4311,0,129.5244,9.8829,4,20,11,4,1,3.2865,5108.1419
B0004337,68.0491,13,2314.2272,21.5546,2,27,8,3,1,5.4819,2748.7937
B0018536,87.9425,0,885.6105,15.3434,3,27,11,3,1,5.9674,4069.4355
B0009780,141.8838,31,3054.1179,8.8329,4,26,6,2,1,5.8003,3943.4632
B0018556,136.8314,12,2166.0199,11.078,5,7,2,3,1,6.314,4367.7932
B0016284,88.8838,19,1199.2797,15.8477,3,13,8,4,1,7.1449,3482.1937
B0001945,130.9507,27,660.3377,9.8878,4,21,13,2,1,5.5903,4605.3892
B0009963,125.0191,12,3139.3544,22.698,5,8,4,5,0,5.2842,3939.8706
B0017173,86.4685,20,2293.4447,7.0838,4,16,6,2,0,3.951,2937.8742
B0009570,43.5094,6,3203.1561,9.3182,1,7,9,2,1,4.8151,2316.6717
B0012538,122.2386,27,3664.6928,19.9254,4,11,2,2,1,5.2845,3228.9277
B0018909,79.7394,29,2983.2119,19.0874,3,2,4,3,0,5.8663,2445.1709
B0003637,119.2833,14,2716.8665,21.2892,3,13,1,2,1,4.9608,3522.376
B0011135,71.3113,7,3913.0137,18.0228,1,28,5,3,1,4.8928,3034.9777
B0019589,61.4546,32,1757.0014,10.1857,2,6,5,2,0,4.4281,2004.2922
B0004362,56.1999,7,2796.9022,9.8337,2,5,10,3,0,4.976,2695.5372
B0001830,94.5391,18,1856.8619,7.6915,3,21,10,4,1,7.553,4002.1409
B0004736,142.2206,0,149.9938,5.3205,4,6,10,3,0,5.8187,5579.8302
B0010231,124.8389,28,2474.9429,18.1896,4,9,4,3,1,6.0362,3404.417
B0015574,38.6808,18,2864.1273,23.7286,1,8,1,3,1,3.1503,1483.122
B0012655,53.24,20,1544.6763,4.1335,2,11,13,3,0,5.1017,2678.0662
B0010049,104.6923,11,790.3636,8.2022,4,21,11,3,1,5.9882,4416.1164
B0016357,78.3024,17,1449.2499,20.7725,2,3,5,3,1,4.3543,2861.4745
B0004701,143.2601,3,1884.693,9.6865,5,25,8,3,1,4.9093,4897.8416
B0021154,69.7019,30,1248.1424,8.3113,1,27,13,2,1,5.7271,3191.5558
